state,January,February,March,April,May,June,July,August,September,October,November,December
ALABAMA,75,67,39,57,79,92,149,159,99,82,51,46
ALASKA,85,56,37,35,44,45,103,88,73,57,129,70
ARIZONA,409,374,263,369,359,176,277,316,264,224,244,347
ARKANSAS,44,33,47,61,73,75,157,142,84,144,117,45
CALIFORNIA,486,375,654,661,490,721,1010,793,719,838,504,498
COLORADO,301,442,368,293,305,380,486,334,459,517,699,505
CONNECTICUT,22,28,41,33,36,40,39,60,94,49,53,46
DELAWARE,16,26,14,93,15,24,25,27,9,10,12,6
DISTRICT OF COLUMBIA,6,7,8,18,4,6,8,7,18,8,10,7
FLORIDA,360,308,410,369,502,541,820,682,502,450,312,333
GEORGIA,76,108,136,77,124,77,197,233,178,139,92,49
HAWAII,43,57,34,98,71,58,61,147,78,94,96,51
IDAHO,312,384,421,375,350,227,229,290,212,173,217,252
ILLINOIS,96,120,144,113,82,79,125,182,215,193,200,195
INDIANA,70,148,194,140,123,175,246,253,227,261,221,165
IOWA,34,32,16,18,35,30,52,88,116,65,79,44
KANSAS,99,53,67,64,46,43,77,142,289,1025,172,41
KENTUCKY,90,64,48,79,45,84,84,95,77,68,77,42
LOUISIANA,14,19,36,23,29,41,84,80,75,59,40,11
MAINE,65,68,39,47,95,134,124,126,93,99,55,46
MARYLAND,179,113,129,123,139,140,271,228,212,201,158,107
MASSACHUSETTS,110,167,178,192,329,218,278,321,347,328,350,331
MICHIGAN,298,213,192,137,182,255,283,359,371,276,315,219
MINNESOTA,28,71,229,218,287,201,370,975,618,677,296,475
MISSISSIPPI,12,12,18,15,14,27,43,13,30,13,20,9
MISSOURI,355,153,170,166,181,137,352,220,235,273,358,247
MONTANA,96,65,93,204,200,144,168,102,89,80,61,36
NEBRASKA,88,49,39,42,59,82,106,107,80,85,127,86
NEVADA,20,11,17,10,33,33,26,40,37,31,16,16
NEW HAMPSHIRE,118,101,126,85,86,95,120,128,146,194,170,142
NEW JERSEY,17,7,12,4,9,17,15,27,26,28,44,11
NEW MEXICO,132,57,64,60,92,84,135,171,128,142,184,101
NEW YORK CITY,37,42,68,56,67,60,50,100,130,102,84,55
NORTH CAROLINA,370,323,371,393,213,389,463,351,426,431,298,263
NORTH DAKOTA,10,18,13,5,12,8,38,54,27,74,48,52
OHIO,1642,975,845,770,863,755,1275,1329,1121,1243,1245,1247
OKLAHOMA,55,87,109,106,199,184,268,370,283,225,283,85
OREGON,147,90,96,87,148,98,168,218,165,245,182,143
PENNSYLVANIA,539,417,407,452,473,451,633,799,653,549,829,538
RHODE ISLAND,16,24,15,24,18,29,61,46,86,52,70,49
SOUTH CAROLINA,74,54,69,77,82,119,106,96,92,99,76,81
SOUTH DAKOTA,11,7,9,11,10,18,21,25,31,15,15,18
TENNESSEE,132,121,117,85,113,158,338,478,211,119,124,108
TEXAS,244,431,476,624,847,894,1113,1108,1078,976,950,607
UPSTATE NEW YORK,759,923,871,934,803,802,1237,1262,1305,1238,1359,1149
UTAH,89,188,237,134,58,178,207,163,176,215,194,83
VERMONT,103,63,64,62,50,95,88,62,91,100,163,194
VIRGINIA,104,131,119,119,129,186,232,222,200,141,230,214
WASHINGTON,204,716,1146,1423,1509,1245,1445,1402,1757,1150,871,692
WEST VIRGINIA,54,56,40,33,32,33,80,65,65,84,47,38
WISCONSIN,86,68,64,28,63,45,74,89,95,64,55,32
WYOMING,11,5,7,11,7,14,14,10,17,7,5,8
