number,season,decade,seasonnum
241200,Winter,1920,1
1268465,Winter,1930,1
1060977,Winter,1940,1
1145990,Winter,1950,1
635518,Winter,1960,1
69747,Winter,1970,1
4669,Winter,1980,1
2481,Winter,1990,1
8,Winter,2000,1
12,Spring,1900,2
435725,Spring,1920,2
2667489,Spring,1930,2
2824459,Spring,1940,2
3046844,Spring,1950,2
1453649,Spring,1960,2
189941,Spring,1970,2
14848,Spring,1980,2
4179,Spring,1990,2
19,Spring,2000,2
125463,Summer,1920,3
637281,Summer,1930,3
668353,Summer,1940,3
883660,Summer,1950,3
433466,Summer,1960,3
62849,Summer,1970,3
7449,Summer,1980,3
5061,Summer,1990,3
27,Summer,2000,3
27104,Autumn,1920,4
17357,Autumn,1920,4
102326,Autumn,1930,4
69043,Autumn,1930,4
101821,Autumn,1940,4
75801,Autumn,1940,4
116944,Autumn,1950,4
98631,Autumn,1950,4
65447,Autumn,1960,4
58175,Autumn,1960,4
12361,Autumn,1970,4
11404,Autumn,1970,4
1114,Autumn,1980,4
1929,Autumn,1980,4
755,Autumn,1990,4
2516,Autumn,1990,4
54,Autumn,2000,4
