Cases	month	Decade	val2	season
36346	1	1930	9	Winter
28032	2	1930	7	Winter
26979	3	1930	7	Spring
24824	4	1930	6	Spring
33108	5	1930	8	Spring
29275	6	1930	7	Summer
37570	7	1930	9	Summer
28143	8	1930	7	Summer
22856	9	1930	6	Autumn
27642	10	1930	7	Autumn
40705	11	1930	10	Autumn
33166	12	1930	8	Winter
116011	1	1940	28	Winter
107381	2	1940	26	Winter
127121	3	1940	30	Spring
118454	4	1940	28	Spring
126922	5	1940	30	Spring
124381	6	1940	30	Summer
124794	7	1940	30	Summer
105726	8	1940	25	Summer
99283	9	1940	24	Autumn
88120	10	1940	21	Autumn
106427	11	1940	26	Autumn
102223	12	1940	25	Winter
38621	1	1950	10	Winter
33143	2	1950	8	Winter
35205	3	1950	9	Spring
34805	4	1950	9	Spring
40721	5	1950	10	Spring
35169	6	1950	9	Summer
35948	7	1950	9	Summer
28473	8	1950	7	Summer
26261	9	1950	7	Autumn
26901	10	1950	7	Autumn
29471	11	1950	7	Autumn
19687	12	1950	5	Winter
0	1	1960	1	Winter
0	2	1960	1	Winter
0	3	1960	1	Spring
0	4	1960	1	Spring
0	5	1960	1	Spring
0	6	1960	1	Summer
0	7	1960	1	Summer
0	8	1960	1	Summer
0	9	1960	1	Autumn
0	10	1960	1	Autumn
0	11	1960	1	Autumn
0	12	1960	1	Winter
695	1	1970	1	Winter
618	2	1970	1	Winter
554	3	1970	1	Spring
490	4	1970	1	Spring
521	5	1970	1	Spring
576	6	1970	1	Summer
901	7	1970	1	Summer
1087	8	1970	1	Summer
1025	9	1970	1	Autumn
877	10	1970	1	Autumn
750	11	1970	1	Autumn
814	12	1970	1	Winter
861	1	1980	1	Winter
1234	2	1980	1	Winter
1435	3	1980	1	Spring
1226	4	1980	1	Spring
1392	5	1980	1	Spring
1425	6	1980	1	Summer
2120	7	1980	1	Summer
3001	8	1980	1	Summer
2947	9	1980	1	Autumn
3365	10	1980	1	Autumn
1881	11	1980	1	Autumn
1605	12	1980	1	Winter
1358	1	1990	1	Winter
1907	2	1990	1	Winter
2552	3	1990	1	Spring
2258	4	1990	1	Spring
2212	5	1990	1	Spring
2152	6	1990	1	Summer
2971	7	1990	1	Summer
4255	8	1990	2	Summer
4384	9	1990	2	Autumn
4023	10	1990	1	Autumn
3674	11	1990	1	Autumn
3752	12	1990	1	Winter
1981	1	2000	1	Winter
1961	2	2000	1	Winter
2167	3	2000	1	Spring
1961	4	2000	1	Spring
1820	5	2000	1	Spring
1959	6	2000	1	Summer
2371	7	2000	1	Summer
2598	8	2000	1	Summer
2331	9	2000	1	Autumn
2343	10	2000	1	Autumn
2267	11	2000	1	Autumn
2594	12	2000	1	Winter
2588	1	2010	1	Winter
2512	2	2010	1	Winter
2850	3	2010	1	Spring
3595	4	2010	1	Spring
4303	5	2010	2	Spring
4121	6	2010	1	Summer
5264	7	2010	2	Summer
4422	8	2010	2	Summer
3559	9	2010	1	Autumn
3722	10	2010	1	Autumn
3482	11	2010	1	Autumn
3974	12	2010	1	Winter
